	Min.	X1st.Qu.	Median	Mean	X3rd.Qu.	Max.	libsum	perc05	perc10	perc90	perc95	zeros	percent.zeros
WT1	0	49	224	837	561	189000	5964116	0	1	1472	2734.75	657	9.21975863036767
WT2	0	88	371	1110	853	197000	7890511	0	2	1917.5	3466	518	7.26915520628684
WT3	0	74.2	297	903	670	172000	6437952	0	2	1624	2893.75	525	7.36738703339882
WT4	0	104	430	1460	1020	329000	10430234	0	2	2557.5	4560	504	7.07269155206287
WT5	0	84	353	1120	819	225000	8012039	0	2	1898	3437	525	7.36738703339882
WT6	0	153	667	2050	1600	357000	14620207	0	3	3742	6508.75	431	6.04827392646646
WT7	0	78	350	1240	858	262000	8860315	0	2	2131	3916.75	552	7.7462812236879
WT8	0	80	360	1380	900	343000	9839118	0	1	2320	4288.5	576	8.08307605950042
WT9	0	77	344	1240	841	268000	8855415	0	1	2121.5	3894.25	566	7.94274487791187
WT10	0	80.2	360	1110	866	188000	7920887	0	2	2032.5	3604.25	547	7.67611563289363
WT11	0	55	244	954	611	256000	6795757	0	1	1600	2884.75	614	8.61633454953691
WT12	0	76	332	1150	802	257000	8212630	0	1	1919.5	3536	560	7.85854616895874
WT13	0	92	403	1270	971	229000	9084189	0	2	2296.5	4056.5	514	7.21302273365142
WT14	0	102	432	1350	1020	253000	9606909	0	2	2463.5	4349	491	6.89026101599775
WT15	0	70.2	300	1070	736	245000	7619031	0	1	1854	3420.5	578	8.11114229581813
WT16	0	50	216	782	526	173000	5569418	0	1	1284	2388.25	621	8.71456637664889
WT17	0	82	356	1010	831	170000	7183412	0	1	1977	3316.25	556	7.80241369632332
WT18	0	80	345	1080	821	195000	7694435	0	2	1992	3586.75	536	7.52175133314623
WT19	0	84	364	1310	879	311000	9326815	0	1	2259.5	4074.5	564	7.91467864159416
WT20	0	57	244	883	595	209000	6291863	0	1	1524	2822	625	8.77069884928431
WT21	0	91	420	995	1020	128000	7089661	0	2	2199.5	3570	533	7.47965197866966
WT22	0	128	584	1430	1330	162000	10223908	0	3	2863.5	4716	475	6.66573112545608
WT23	0	79	345	1070	822	185000	7640884	0	2	1933.5	3416.5	535	7.50771821498737
WT24	0	86	368	1120	841	197000	7954528	0	2	1946	3532	513	7.19898961549256
WT25	0	104	478	1150	1120	116000	8230468	0	2	2392.5	4019	474	6.65169800729722
WT26	0	86.2	375	1300	914	291000	9231334	0	2	2260	4147	537	7.53578445130508
WT27	0	92	415	1350	1010	242000	9594309	0	2	2380.5	4288.75	513	7.19898961549256
WT28	0	98.2	475	1130	1100	114000	8063111	0	2	2375.5	3884.5	528	7.40948638787539
WT29	0	83	353	1140	816	242000	8158307	0	2	1918.5	3487.25	514	7.21302273365142
WT30	0	118	495	1620	1200	332000	11556151	0	2	2962	5308.25	501	7.0305921975863
WT31	0	83	369	1210	912	211000	8608070	0	2	2160.5	3891.5	518	7.26915520628684
WT32	0	60	248	918	601	242000	6540347	0	1	1575.5	2826.75	602	8.44793713163065
WT33	0	91	390	1330	923	274000	9504114	0	2	2172.5	4131.5	531	7.45158574235195
WT34	0	74	306	1200	721	315000	8550879	0	1	1750	3576.75	530	7.4375526241931
WT35	0	69	303	934	732	163000	6656339	0	1	1738	3025	564	7.91467864159416
WT36	0	73.2	300	1100	699	248000	7850838	0	2	1627	3241.75	525	7.36738703339882
WT37	0	75	344	1550	901	468000	11009738	0	1	2422	4529.75	586	8.22340724108897
WT38	0	54	245	1010	620	270000	7197961	0	1	1682	3078.5	661	9.27589110300309
WT39	0	61	280	1040	689	247000	7408720	0	1	1736	3199.5	627	8.79876508560202
WT40	0	117	491	1670	1210	358000	11927155	0	2	3003	5359.75	495	6.94639348863317
WT41	0	91.2	420	1400	1020	279000	9975448	0	2	2438.5	4340.5	517	7.25512208812798
WT42	0	71	312	1030	750	209000	7319786	0	1	1821.5	3238	563	7.90064552343531
WT43	0	74	291	930	676	192000	6626373	0	1.5	1659	3047.5	551	7.73224810552905
WT44	0	54	259	1140	674	318000	8106866	0	1	1868.5	3492.75	659	9.24782486668538
WT45	0	100	457	1620	1120	339000	11575895	0	2	2752.5	5097.75	530	7.4375526241931
WT46	0	55	233	783	559	169000	5581502	0	1	1374.5	2468.5	603	8.4619702497895
WT47	0	115	500	1700	1230	349000	12083595	0	2	2925	5271	473	6.63766488913837
WT48	0	79	334	1120	790	244000	7996804	0	1	1985	3582	562	7.88661240527645
Snf1	0	137	540	1440	1200	206000	10229111	0	3	2683	4569.75	455	6.38506876227898
Snf2	0	98	422	1220	960	200000	8694091	0	2	2208.5	3872.75	552	7.7462812236879
Snf3	0	98	408	1230	954	210000	8773138	0	2	2204.5	3853	533	7.47965197866966
Snf4	0	137	562	1500	1270	204000	10662188	0	3	2801.5	4738.75	456	6.39910188043783
Snf5	0	84	336	966	763	158000	6883848	0	2	1757	3068.75	547	7.67611563289363
Snf6	0	109	555	1220	1340	64900	8662059	0	2	2799.5	4304.75	551	7.73224810552905
Snf7	0	161	668	1750	1520	243000	12479715	0	4	3319.5	5671	449	6.30087005332585
Snf8	0	91.2	377	1140	862	209000	8147552	0	2	2008.5	3572	548	7.69014875105248
Snf9	0	115	495	1410	1110	211000	10025640	0	2	2529.5	4496	481	6.74992983440921
Snf10	0	89	366	1160	850	179000	8238277	0	1	1999.5	3698	554	7.77434746000561
Snf11	0	109	458	1390	1050	247000	9907483	0	2	2448.5	4335	514	7.21302273365142
Snf12	0	97	377	1040	840	153000	7401794	0	2	1884.5	3298.75	492	6.90429413415661
Snf13	0	115	500	1010	1120	96000	7184881	0	2	2194	3407	488	6.84816166152119
Snf14	0	126	498	1330	1130	173000	9508638	0	3	2469.5	4302.5	469	6.58153241650295
Snf15	0	80	345	1180	815	252000	8422845	0	1	1975.5	3661	582	8.16727476845355
Snf16	0	120	493	1270	1080	182000	9073818	0	2	2368	4008	503	7.05865843390401
Snf17	0	126	493	1430	1100	230000	10184815	0	2.5	2597.5	4460	474	6.65169800729722
Snf18	0	107	439	1170	985	160000	8358221	0	2	2204	3772.5	512	7.18495649733371
Snf19	0	86.2	353	996	799	149000	7095955	0	2	1868	3205.5	543	7.61998316025821
Snf20	0	102	443	1280	1000	215000	9107888	0	2	2313.5	3929.75	510	7.156890261016
Snf21	0	112	463	1340	1060	202000	9531827	0	2	2408	4273.75	505	7.08672467022172
Snf22	0	85	338	945	751	140000	6735821	0	2	1729.5	3065.5	522	7.32528767892226
Snf23	0	96	391	1040	875	146000	7405041	0	2	1965.5	3346	519	7.28318832444569
Snf24	0	159	634	1960	1460	308000	13934209	0	3	3412	6085.25	461	6.46926747123211
Snf25	0	79	352	1180	855	232000	8414002	0	1	2099.5	3754.5	573	8.04097670502386
Snf26	0	124	506	1380	1140	210000	9812933	0	3	2575.5	4333.5	467	6.55346618018524
Snf27	0	75	317	932	727	143000	6638966	0	1	1698	2997.5	572	8.026943586865
Snf28	0	92.2	374	1080	850	180000	7681488	0	2	1957	3413	530	7.4375526241931
Snf29	0	108	422	1090	917	162000	7757366	0	2	2008.5	3496	496	6.96042660679203
Snf30	0	89.2	370	1010	825	155000	7224468	0	2	1860	3178.5	532	7.46561886051081
Snf31	0	74	335	1070	788	199000	7605035	0	1	1892.5	3361	569	7.98484423238844
Snf32	0	124	491	1320	1090	195000	9418395	0	3	2450.5	4238.75	484	6.79202918888577
Snf33	0	146	616	1650	1370	233000	11776986	0	3	3066.5	5279.5	453	6.35700252596127
Snf34	0	104	441	1250	993	195000	8934639	0	2	2251	3956	492	6.90429413415661
Snf35	0	93	376	895	842	96400	6375637	0	2	1798	2956.25	530	7.4375526241931
Snf36	0	86	374	1260	891	249000	8962097	0	1.5	2181	3993.75	567	7.95677799607073
Snf37	0	102	428	1120	954	152000	7982576	0	2	2105.5	3528.5	503	7.05865843390401
Snf38	0	88	382	1180	878	215000	8408882	0	2	2083.5	3724	564	7.91467864159416
Snf39	0	178	759	2130	1740	323000	15182957	0	4	3966	6869.75	450	6.3149031714847
Snf40	0	98.2	420	1160	942	181000	8271195	0	2	2146.5	3658.25	506	7.10075778838058
Snf41	0	116	481	1400	1100	240000	9959395	0	2	2526	4339.5	506	7.10075778838058
Snf42	0	75	325	968	752	164000	6894818	0	1	1771	3084.25	587	8.23744035924783
Snf43	0	119	476	1340	1060	219000	9568585	0	2	2456.5	4182.25	482	6.76396295256806
Snf44	0	128	494	1250	1080	167000	8874407	0	3	2324.5	3897.75	469	6.58153241650295
Snf45	0	95	386	1100	858	178000	7862357	0	2	1993	3450.5	530	7.4375526241931
Snf46	0	108	450	1240	1000	170000	8808358	0	2	2271.5	3983.5	499	7.00252596126859
Snf47	0	124	488	1230	1060	160000	8759007	0	3	2282.5	3875.5	458	6.42716811675554
Snf48	0	96	383	1030	839	142000	7309432	0	2	1886	3331.25	489	6.86219477968004
